,word
0,Synthesis
1,Co−P
2,Nanocomposites
3,Co−P
4,nanocomposites
5,fabricated
6,following
7,previous
8,literature
9,slight
10,modiﬁcations
11,In
12,detail
13,1.2
14,mmol
15,Co(ac)2
16,mixed
17,2.4
18,mmol
19,TPP
20,21
21,mL
22,OM
23,100
24,mL
25,three-necked
26,ﬂask
27,The
28,mixture
29,heated
30,110
31,°C
32,30
33,min
34,argon
35,ﬂow
36,exclude
37,water
38,well
39,oxygen
40,heated
41,290
42,°C
43,3
44,h
45,Co−P
46,nanocomposites
47,obtained
48,centrifugation
49,black
50,solution
51,cooled
52,room
53,temperature
54,Then
55,Co−P
56,nanocomposites
57,washed
58,mixed
59,solution
60,cyclohexane
61,acetone
62,ethanol
63,several
64,times
65,dispersed
66,30
67,mL
68,cyclohexane
69,
70,Catalyst
71,Synthesis
72,ZnFe2O4
73,prepared
74,according
75,previously
76,reported
77,method
78,CuOx-decorated
79,ZnFe2O4
80,prepared
81,replacing
82,Zn
83,ions
84,Cu
85,ions
86,All
87,analytic
88,reagents
89,dissolved
90,deionized
91,water
92,Typically
93,NaBH4
94,solution
95,dropwise
96,added
97,mixed
98,solution
99,Fe(NO3)3
100,Cu(NO3)2
101,Zn(NO3)2
102,Fe3+]/[NaBH4
103,=
104,1:2
105,After
106,stirring
107,1
108,h
109,mixture
110,heated
111,120
112,°C
113,12
114,h
115,autoclave
116,tube
117,The
118,solid
119,product
120,washed
121,deionized
122,water
123,ﬁnally
124,dried
125,60
126,°C
127,overnight
128,The
129,samples
130,prepared
131,different
132,Cu/Zn
133,mole
134,ratios
135,1:9
136,3:7
137,5:5
138,7:3
139,designated
140,ZnFe2O4−Cu1
141,ZnFe2O4−Cu3
142,ZnFe2O4−Cu5
143,ZnFe2O4−Cu7
144,As
145,reference
146,Cu−Fe
147,composite
148,oxide
149,designated
150,Cu−Fe−O
151,prepared
152,absence
153,Zn(NO3)2
154,Cu2+]/[Fe3+
155,=
156,1:2
157,In
158,typical
159,synthetic
160,procedure
161,composite
162,microspheres
163,pyrite
164,polyvinylpyrrolidone
165,PVP
166,ﬁrst
167,synthesized
168,brieﬂy
169,0.556
170,g
171,FeSO4·7H2O
172,0.6
173,g
174,PVP-K30
175,dissolved
176,20
177,mL
178,ethylene
179,glycol
180,100
181,mL
182,round-bottomed
183,ﬂask
184,Then
185,0.128
186,g
187,S
188,powder
189,dispersed
190,solution
191,ultrasonication
192,minutes
193,The
194,round-bottomed
195,ﬂask
196,equipped
197,microwave
198,reactor
199,reaction
200,30
201,min
202,nitrogen
203,ﬂow
204,80%
205,full
206,power
207,black
208,precipitate
209,obtained
210,The
211,dried
212,black
213,precipitate
214,calcined
215,air
216,900
217,°C
218,10
219,min
220,heating
221,rate
222,5
223,°C
224,min−1
225,cooled
226,room
227,temperature
228,naturally
229,Finally
230,red
231,powder
232,obtained
233,collected
234,characterizations
235,
236,Synthesis
237,GO
238,Na3V2(PO4)3
239,GO
240,prepared
241,improved
242,Hummers
243,course
244,The
245,resultant
246,GO
247,dispersion
248,underwent
249,dialysis
250,room
251,temperature
252,14
253,days
254,rotary
255,evaporation
256,60
257,°C
258,remove
259,suitable
260,water
261,The
262,concentration
263,ﬁnal
264,GO
265,dispersion
266,adopted
267,5.24
268,mg
269,mL−1
270,In
271,typical
272,synthesis
273,Na3V2(PO4)3
274,NVP
275,NH4VO3
276,2
277,mmol
278,oxalic
279,acid
280,8.4
281,mmol
282,added
283,80
284,mL
285,water
286,80
287,°C
288,After
289,stirring
290,1
291,h
292,GO
293,dispersion
294,added
295,mixture
296,sonication
297,0.5
298,h
299,Then
300,Na2CO3
301,1.5
302,mmol
303,NH4H2PO4
304,3
305,mmol
306,added
307,agitation
308,36
309,h
310,The
311,resultant
312,product
313,precalcined
314,350
315,°C
316,3
317,h
318,N2
319,atmosphere
320,followed
321,powder
322,produced
323,calcined
324,700
325,°C
326,10
327,h
328,H2−Ar
329,mixture
330,5%
331,H2
332,v/v
333,CuInSe2
334,Nanocrystal
335,Synthesis
336,CIS
337,nanocrystals
338,synthesized
339,using
340,modiﬁcation
341,published
342,procedures
343,In
344,typical
345,reaction
346,2
347,mmol
348,CuCl
349,2
350,mmol
351,InCl3
352,4
353,mmol
354,Se
355,20
356,mL
357,degassed
358,oleylamine
359,added
360,100
361,mL
362,three-neck
363,ﬂask
364,inside
365,N2
366,ﬁlled
367,glovebox
368,The
369,ﬂask
370,attached
371,standard
372,Schlenk
373,line
374,degassed
375,110
376,°C
377,vacuum
378,45
379,min
380,The
381,ﬂask
382,ﬁlled
383,nitrogen
384,heated
385,200
386,°C
387,After
388,30
389,min
390,temperature
391,raised
392,260
393,°C
394,After
395,10
396,min
397,heating
398,mantle
399,removed
400,reaction
401,allowed
402,cool
403,room
404,temperature
405,The
406,nanocrystals
407,washed
408,via
409,centrifugation
410,using
411,toluene
412,ethanol
413,solvent
414,antisolvent
415,respectively
416,Poorly
417,capped
418,nanocrystals
419,separated
420,toluene
421,solution
422,via
423,centrifugation
424,The
425,ﬁnal
426,nanocrystal
427,dispersion
428,transferred
429,glovebox
430,ligand
431,exchange
432,
433,Synthesis
434,PEI-PTMC
435,PTMC20k-COOH
436,4.0
437,g
438,0.2
439,mmol
440,DCC
441,4.1
442,g
443,20
444,mmol
445,dissolved
446,10
447,mL
448,dried
449,DMF
450,stirred
451,room
452,temperature
453,2
454,h
455,Then
456,PEI25K
457,5.0
458,g
459,0.2
460,mmol
461,DMAP
462,0.27
463,g
464,2
465,mmol
466,added
467,solution
468,The
469,solution
470,kept
471,stirring
472,room
473,temperature
474,24
475,h
476,The
477,resulting
478,mixture
479,ﬁltered
480,ﬁltrate
481,dialyzed
482,MWCO
483,=
484,30000
485,Da
486,distilled
487,water
488,48
489,h
490,lyophilized
491,obtain
492,PEI-PTMC
493,Synthesis
494,PEG-DA
495,mPEG2k-NH2
496,400
497,mg
498,0.2
499,mmol
500,DA
501,276
502,mg
503,2
504,mmol
505,20
506,mL
507,PBS
508,pH
509,8.0
510,stirred
511,room
512,temperature
513,24
514,h
515,Then
516,solution
517,dialyzed
518,MWCO
519,=
520,1000
521,Da
522,distilled
523,water
524,neutral
525,pH
526,24
527,h
528,lyophilized
529,obtain
530,PEG-DA
531,
532,Synthesis
533,LiMgxCuyCo1−x−yO2
534,carried
535,mixing
536,stoichiometric
