,word
0,Synthesis,7
1,of,0
2,Co−P,2
3,Nanocomposites,3
4,Co−P,2
5,nanocomposites,3
6,were,0
7,fabricated,0
8,following,0
9,the,0
10,previous,0
11,literature,0
12,with,0
13,slight,0
14,modiﬁcations,0
15,In,0
16,detail,0
17,1.2,10
18,mmol,9
19,of,0
20,Co(ac)2,1
21,was,0
22,mixed,6
23,with,0
24,2.4,10
25,mmol,9
26,of,0
27,TPP,1
28,and,0
29,21,10
30,mL,9
31,of,0
32,OM,1
33,in,0
34,a,0
35,100,10
36,mL,9
37,three-necked-ﬂask,5
39,The,0
40,mixture,3
41,was,0
42,heated,6
43,to,0
44,110,10
45,°C,8
46,for,0
47,30,10
48,min,8
49,under,0
50,an,0
51,argon,4
52,ﬂow,4
53,to,0
54,exclude,0
55,the,0
56,water,0
57,as,0
58,well,0
59,as,0
60,oxygen,0
61,and,0
62,then,0
63,heated,6
64,up,0
65,to,0
66,290,10
67,°C,8
68,for,0
69,3,10
70,h,8
71,Co−P,2
72,nanocomposites,3
73,were,0
74,obtained,0
75,after,0
76,centrifugation,6
77,of,0
78,the,0
79,black,0
80,solution,3
81,while,0
82,it,0
83,was,0
84,cooled,6
85,down,0
86,to,0
87,room,11
88,temperature,11
89,Then,0
90,Co−P,2
91,nanocomposites,3
92,were,0
93,washed,6
94,with,0
95,a,0
96,mixed,0
97,solution,3
98,of,0
99,cyclohexane,4
100,acetone,4
101,and,0
102,ethanol,4
103,several,11
104,times,11
105,and,0
106,dispersed,6
107,in,0
108,30,10
109,mL,9
110,of,0
111,cyclohexane,4
113,Catalyst,12
114,Synthesis,7
115,ZnFe2O4,2
116,was,0
117,prepared,0
118,according,0
119,to,0
120,the,0
121,previously,0
122,reported,0
123,method,0
124,CuOx-decorated,2
125,ZnFe2O4,2
126,was,0
127,prepared,0
128,by,0
129,replacing,0
130,some,0
131,of,0
132,the,0
133,Zn,0
134,ions,0
135,with,0
136,Cu,0
137,ions,0
138,All,0
139,of,0
140,the,0
141,analytic,0
142,reagents,0
143,were,0
144,dissolved,4
145,with,0
146,deionized,4
147,water,4
148,Typically,0
149,a,0
150,NaBH4,1
151,solution,3
152,was,0
153,dropwise,6
154,added,6
155,to,0
156,a,0
157,mixed,0
158,solution,3
159,of,0
160,Fe(NO3)3,1
161,Cu(NO3)2,1
162,and,0
163,Zn(NO3)2,1
164,Fe3+]/[NaBH4,12
165,=,12
166,1:2,12
167,After,0
168,stirring,6
169,for,0
170,1,10
171,h,8
172,the,0
173,mixture,3
174,was,0
175,heated,6
176,at,0
177,120,10
178,°C,8
179,for,0
180,12,10
181,h,8
182,in,0
183,an,0
184,autoclave,5
185,tube,5
186,The,0
187,solid,1
188,product,1
189,was,0
190,washed,4
191,with,0
192,deionized,4
193,water,4
194,and,0
195,ﬁnally,0
196,dried,6
197,at,0
198,60,10
199,°C,8
200,overnight,1
201,The,0
202,samples,1
203,prepared,6
204,with,0
205,different,0
206,Cu/Zn,4
207,mole,9
208,ratios,12
209,1:9,12
210,3:7,12
211,5:5,12
212,and,0
213,7:3,12
214,were,0
215,designated,0
216,as,0
217,ZnFe2O4−Cu1,2
218,ZnFe2O4−Cu3,2
219,ZnFe2O4−Cu5,2
220,and,0
221,ZnFe2O4−Cu7,2
222,As,0
223,a,0
224,reference,0
225,Cu−Fe,2
226,composite,2
227,oxide,2
228,designated,0
229,as,0
230,Cu−Fe−O,2
231,was,0
232,prepared,6
233,in,0
234,the,0
