,word,label
0,Synthesis,7
1,Co−P,2
2,Nanocomposites,3
3,Co−P,2
4,nanocomposites,3
5,fabricated,0
6,following,0
7,previous,0
8,literature,0
9,slight,0
10,modiﬁcations,0
11,In,0
12,detail,0
13,1.2,10
14,mmol,9
15,Co(ac)2,1
16,mixed,6
17,2.4,10
18,mmol,9
19,TPP,1
20,21,10
21,mL,9
22,OM,1
23,100,10
24,mL,9
25,three-necked-ﬂask,5
27,The,0
28,mixture,3
29,heated,6
30,110,10
31,°C,8
32,30,10
33,min,8
34,argon-ﬂow,4
36,exclude,0
37,water,0
38,well,0
39,oxygen,0
40,heated,6
41,290,10
42,°C,8
43,3,10
44,h,8
45,Co−P,2
46,nanocomposites,3
47,obtained,0
48,centrifugation,6
49,black,0
50,solution,3
51,cooled,6
52,room,11
53,temperature,11
54,Then,0
55,Co−P,2
56,nanocomposites,3
57,washed,6
58,mixed,0
59,solution,3
60,cyclohexane,4
61,acetone,4
62,ethanol,4
63,several,0
64,times,0
65,dispersed,6
66,30,10
67,mL,9
68,cyclohexane,4
70,Catalyst,12
71,Synthesis,7
72,ZnFe2O4,2
73,prepared,0
74,according,0
75,previously,0
76,reported,0
77,method,0
78,CuOx-decorated,2
79,ZnFe2O4,2
80,prepared,0
81,replacing,0
82,Zn,0
83,ions,0
84,Cu,0
85,ions,0
86,All,0
87,analytic,0
88,reagents,0
89,dissolved,4
90,deionized,4
91,water,4
92,Typically,0
93,NaBH4,1
94,solution,3
95,dropwise,6
96,added,6
97,mixed,0
98,solution,3
99,Fe(NO3)3,1
100,Cu(NO3)2,1
101,Zn(NO3)2,1
102,Fe3+]/[NaBH4,12
103,=,12
104,1:2,12
105,After,0
106,stirring,6
107,1,10
108,h,8
109,mixture,3
110,heated,6
111,120,10
112,°C,8
113,12,10
114,h,8
115,autoclave,5
116,tube,5
117,The,0
118,solid,1
119,product,1
120,washed,4
121,deionized,4
122,water,4
123,ﬁnally,0
124,dried,6
125,60,10
126,°C,8
127,overnight,11
128,The,0
129,samples,1
130,prepared,6
131,different,0
132,Cu/Zn,4
133,mole,9
134,ratios,12
135,1:9,12
136,3:7,12
137,5:5,12
138,7:3,12
139,designated,0
140,ZnFe2O4−Cu1,2
141,ZnFe2O4−Cu3,2
142,ZnFe2O4−Cu5,2
143,ZnFe2O4−Cu7,2
144,As,0
