,words,pos,dep,stop,likenum,nounchunk,cem,label
0,A,0,det,0,0,0,0,0
1,Teflon,2,npadvmod,0,0,0,1,3
2,-,0,punct,0,0,0,0,3
3,lined,4,amod,0,0,0,0,3
4,stainless,3,amod,0,0,0,0,3
5,steel,1,compound,0,0,0,0,3
6,autoclave,1,nsubjpass,0,0,0,0,3
7,was,4,auxpass,1,0,0,0,0
8,filled,4,ROOT,0,0,0,0,5
9,with,0,prep,1,0,0,0,0
10,20,0,nummod,0,1,0,0,0
11,mL,3,nmod,0,0,0,0,0
12,aqueous,3,amod,0,0,0,0,6
13,solution,1,pobj,0,0,0,0,6
14,which,0,nsubj,1,0,0,0,0
15,containing,4,relcl,0,0,0,0,0
16,0.1,0,compound,0,1,0,0,0
17,M,0,dobj,0,0,0,0,0
18,of,0,prep,1,0,0,0,0
19,FeCl3·6H2O,2,pobj,0,0,0,1,2
20,and,0,cc,1,0,0,0,0
21,1.0,0,nummod,0,1,0,0,0
22,M,2,compound,0,0,0,0,0
23,NaNO3,1,conj,0,0,0,1,2
24,A,0,det,0,0,0,0,0
25,piece,1,nsubjpass,0,0,0,0,0
26,of,0,prep,1,0,0,0,0
27,FTO,2,compound,0,0,0,1,3
28,glass,1,pobj,0,0,0,0,3
29,was,4,auxpass,1,0,0,0,0
30,cleaned,4,ROOT,0,0,0,0,5
31,ultrasonically,0,advmod,0,0,0,0,5
32,in,0,prep,1,0,0,0,0
33,pure,3,amod,0,0,0,0,2
34,water,1,pobj,0,0,0,0,2
35,ethanol,1,conj,0,0,1,1,2
36,and,0,cc,1,0,0,0,0
37,acetone,1,conj,0,0,1,1,2
38,and,0,cc,1,0,0,0,0
39,then,0,advmod,1,0,0,0,0
40,rinsed,4,conj,0,0,0,0,5
41,in,0,prep,1,0,0,0,0
42,water,1,pobj,0,0,1,0,2
43,again,0,advmod,1,0,0,0,0
44,before,0,prep,1,0,0,0,0
45,chemical,1,compound,0,0,0,0,5
46,bath,1,compound,0,0,0,0,5
47,deposition,1,pobj,0,0,0,0,5
48,Then,0,advmod,0,0,0,0,0
49,the,0,det,1,0,0,0,0
50,FTO,2,compound,0,0,0,1,3
51,glass,1,nsubjpass,0,0,0,0,3
