,word,label
0,A,0
1,Teflon-lined,5
2,stainless,5
3,steel,5
4,autoclave,5
5,filled,6
6,20,10
7,mL,9
8,aqueous,3
9,solution,3
10,containing,0
11,0.1,10
12,M,8
13,FeCl3·6H2O,1
14,1,10
15,M,8
16,NaNO3,1
17,A,0
18,piece,11
19,FTO,0
20,glass,5
21,cleaned,6
22,ultrasonically,4
23,pure,0
24,water,4
25,ethanol,4
26,acetone,4
27,rinsed,6
28,water,4
29,chemical,6
30,bath,6
31,deposition,6
32,Then,0
33,FTO,0
34,glass,5
35,put,5
36,autoclave,5
37,heated,6
38,95,10
39,°C,8
40,A,0
41,uniform,11
42,yellow,11
43,layer,11
44,iron,2
45,oxyhydrodides,2
46,FeOOH,2
47,film,2
48,formed,0
49,FTO,0
50,substrate,5
51,cooled,11
52,slowly,11
53,room,11
54,temperature,11
55,PEC,6
56,measurements,6
57,In,0
58,different,0
59,approach,0
60,hematite-nanostructured,2
61,photoanodes,2
62,prepared,6
63,conditions,4
64,except,0
65,lack,0
66,using,0
67,inorganic,1
68,salt,1
69,NaNO3,1
70,electrolyte,1
71,process,0
72,chemical,6
73,bath,6
74,deposition,6
75,Vertically,11
76,aligned,11
77,Si,2
78,nanostructure,2
79,arrays,2
80,SiNs,2
81,boron-doped,4
82,p-type,4
83,single-side-polished,4
84,Si(100,4
85,substrates,4
86,resistivity,0
87,=,0
88,2−10,0
89,Ω,9
90,cm,9
91,fabricated,6
92,ICP-RIE,4
93,etching,4
94,technique,4
95,using,0
96,silver,4
97,nano-particles,4
98,mask,4
99,Si,5
100,substrates,5
101,first,0
102,cleaned,6
103,standard,4
104,RCA,4
105,cleaning,4
106,process,4
107,Thereafter,0
108,uniform,11
109,layer,11
110,Ag,2
111,nanoparticles,2
112,Ag,2
113,NPs,2
114,cleaned,4
115,Si,4
116,prepared,6
117,depositing,6
118,Ag,1
119,film,1
120,10,10
121,nm,9
122,thick,11
123,thermal,4
124,evaporation,4
125,followed,0
126,annealing,4
127,inert,4
128,atmosphere,4
129,400,10
130,°C,8
131,1,10
132,h,8
133,Si,2
134,pieces,0
135,2,10
136,×,0
137,2,10
138,cm2,9
139,size,0
140,coated,0
141,Ag,2
142,NPs,2
143,average,11
144,diameter,11
145,50,10
146,nm,9
147,transferred,6
148,SENTECH,5
149,SI,5
150,500,10
151,ICP-RIE,5
152,system,5
153,employing,0
154,CF4,4
155,gas,4
156,etch,4
157,unmasked,4
158,area,4
159,In,0
160,CF4-based,5
161,plasma,5
162,etching,5
163,system,5
164,application,0
165,electric,4
166,field,4
167,free,0
168,electrons,0
169,collide,0
170,neutral,0
171,molecules,0
172,CF4,0
173,resulting,0
174,dissociation,6
175,CF4,1
176,electrons,2
177,ions,2
178,fluorine,2
179,radicals,2
180,dissociative,6
181,ionization,6
182,resulting,0
183,formation,0
184,volatile,2
185,SiF4,2
186,Though,0
187,dry,6
188,etching,6
189,combination,0
190,physical,11
191,chemical,11
192,mechanisms,11
193,outer,0
194,Si,1
195,atoms,1
196,dominantly,0
197,removed,6
198,chemical,4
199,reaction,4
200,ICP-RIE,4
201,process,4
202,Although,0
203,ICP,0
204,power,0
205,controls,0
206,plasma,0
207,density,0
208,additional,0
209,RF,0
210,source,0
211,coupled,0
212,capacitively,0
213,substrate,0
214,holder,0
215,adjust,0
216,substrate,0
217,bias,0
218,voltage,0
219,The,0
220,bias,0
221,voltage,0
222,substrate,0
223,generally,0
224,low,0
225,order,0
226,tens,0
227,volts,0
228,offering,0
229,low,0
230,velocity,0
231,ions,0
232,hit,0
233,substrate,0
234,As,0
235,result,0
236,ICP-RIE,0
237,method,0
238,provides,0
239,minimal,0
240,ion-induced,0
241,damage,0
242,Substrate,4
243,temperature,4
244,gas,4
245,flow,4
246,rate,4
247,chamber,4
248,pressure,4
249,kept,0
250,constant,11
251,values,11
252,20,10
253,°C,8
254,0.6,10
255,Pa,8
256,40,10
257,sccm,8
258,respectively,0
259,found,0
260,optimal,0
261,growth,0
262,ICP,0
263,RF,0
264,powers,0
265,varied,0
266,attain,0
267,desired,0
268,aspect,0
269,ratio,0
270,lowest,0
271,reflectance,0
272,Si,0
273,nanostructures,0
274,The,0
275,n-type,1
276,undoped,1
277,GaN-coated,1
278,sapphire,1
279,substrate,1
280,initially,0
281,cleaned,6
282,acetone,4
283,ethanol,4
284,deionized,4
285,water,4
286,respectively,0
287,blown,6
288,dry,0
289,N2,0
290,deposition,6
291,The,0
292,n-GaN,0
293,layer,0
294,thickness,0
295,3.2,10
296,μm,8
297,resistivity,0
298,carrier,0
299,concentration,0
300,9.13,10
301,×,8
302,10,10
303,−2,8
304,Ω,8
305,cm,8
306,1.78,10
307,×,8
308,10,10
309,17,10
310,cm−3,8
312,respectively,0
313,Then,0
314,80-nm,0
315,MZO,2
316,film,2
317,deposited,6
318,GaN-coated,0
319,sapphire,0
320,substrate,0
321,radio,5
322,frequency,5
323,reactive,5
324,magnetron,5
325,sputtering,0
326,100,10
327,°C,8
328,The,0
329,films,2
330,deposited,6
331,total,0
332,pressure,2
333,2,10
334,Pa,9
335,power,4
336,sputtering,4
337,120,10
338,W,8
339,Ar/O2,4
340,ratio,4
341,08:03,12
342,Herein,0
343,thickness,0
344,MZO,0
345,film,0
346,measured,0
347,surface,5
348,profilometer,5
349,Talysurf,5
350,Serles,0
351,II,0
352,MZO,0
353,composition,0
354,determined,0
355,X-ray,5
356,photoelectron,5
357,spectroscopy,5
358,XPS,0
359,Before,0
360,deposition,0
361,target,2
362,presputtered,6
363,10,10
364,min,8
365,remove,0
366,possible,0
367,contaminants,0
368,Then,0
369,80-nm-thick,11
370,Au,1
371,electrodes,1
372,patterned,1
373,ZnO,1
374,surface,1
375,shadow,5
376,mask,5
377,radio,4
378,frequency,4
379,reactive,4
380,magnetron,4
381,sputtering,4
382,room,4
383,temperature,4
384,After,0
385,devices,5
386,annealed,6
387,700,10
388,°C,8
389,2,10
390,h,8
391,air,4
392,Finally,0
393,get,0
394,large-area,0
395,Ohmic,0
396,contacts,0
397,surface,0
398,GaN,0
399,In,5
400,electrode,5
401,applied,6
402,The,0
403,Au,5
404,electrode,5
405,area,0
406,π,0
407,×,0
408,0.5,10
409,2,10
410,mm2,9
411,In,5
412,electrode,5
413,area,11
414,1,10
415,×,9
416,0.5,10
417,mm2,9
419,All,0
420,I−V,0
421,characteristics,0
422,measured,0
423,Keithley,5
424,4200,10
425,electrometer,5
426,The,0
427,EL,0
428,measurements,0
429,carried,0
430,Acton,5
431,SpectroPro,5
432,2500,10
433,monochromator,5
434,Transmission,5
435,electron,5
436,microscope,5
437,TEM,5
438,techniques,5
439,including,0
440,bright,5
441,field,5
442,BF,5
443,imaging,5
444,high,5
445,resolution,5
446,HR,5
447,selected,5
448,area,5
449,electron,5
450,diffraction,5
451,SAED,5
452,performed,6
453,using,0
454,JEOL,5
455,JEM0−2010,5
456,HT,5
457,electron,5
458,microscope,5
459,All,0
460,measurements,0
461,carried,0
462,room,4
463,temperature,4
464,RT,4
465,ambient,4
466,atmosphere,4
467,TiO2−M−TiO2,2
468,M,2
469,=,2
470,W,2
471,Co,2
472,Multilayer,5
473,Film,5
474,Synthesis,5
475,The,0
476,procedure,0
477,sample,0
478,preparation,0
479,previously,0
480,reported,0
481,detail,0
482,We,0
483,provide,0
484,brief,0
485,description,0
486,particular,0
487,samples,0
488,used,0
489,work,0
490,TiO−M−TiO2,2
491,M,2
492,=,2
493,W,2
494,Co,2
495,multilayer,2
496,films,2
497,deposited,6
498,glass,5
499,substrates,5
500,using,0
501,radio-frequency,5
502,reactive,5
503,magnetron,5
504,sputtering,5
505,For,0
506,sample,0
507,four,11
508,layers,11
509,TiO2,2
510,three,11
511,layers,11
512,selected,2
513,metal,2
514,deposited,6
515,Alternately,0
516,one,11
517,layer,11
518,TiO2,2
519,one,11
520,layer,11
521,metal,2
522,deposited,6
523,procedure,0
524,repeated,0
525,three,0
526,times,0
527,After,0
528,TiO2,2
529,/metal,2
530,layers,11
531,deposited,6
532,additional,11
533,layer,11
534,TiO2,2
535,added,6
536,cover,0
537,The,0
538,total,11
539,thickness,11
540,TiO2,2
541,layers,0
542,80,10
543,nm,9
544,The,0
545,deposition,4
546,rates,4
547,W,2
548,Co,2
549,layers,11
550,10,10
551,5.3,10
552,nm/min,8
553,respectively,0
554,two,0
555,different,0
556,deposition,4
557,times,4
558,10,10
559,30,10
560,selected,0
561,After,0
562,deposition,6
